2024-10-24 20:10:42-log: Cannot access game frame or container.
2024-10-24 20:10:43-debug: asset-db:require-engine-code (1054ms)
2024-10-24 20:10:43-log: meshopt wasm decoder initialized
2024-10-24 20:10:43-log: [box2d]:box2d wasm lib loaded.
2024-10-24 20:10:43-log: [bullet]:bullet wasm lib loaded.
2024-10-24 20:10:43-log: Cocos Creator v3.8.2
2024-10-24 20:10:43-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:21.23MB, end 100.71MB, increase: 79.48MB
2024-10-24 20:10:45-debug: [Assets Memory track]: asset-db-plugin-enable: project start:103.03MB, end 195.22MB, increase: 92.19MB
2024-10-24 20:10:45-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:100.71MB, end 195.33MB, increase: 94.62MB
2024-10-24 20:10:45-debug: [Assets Memory track]: asset-db-plugin-register: engine-extends start:102.91MB, end 195.21MB, increase: 92.30MB
2024-10-24 20:10:43-debug: [Assets Memory track]: asset-db-plugin-register: programming start:101.35MB, end 102.86MB, increase: 1.52MB
2024-10-24 20:10:45-debug: [Assets Memory track]: asset-db-plugin-enable: builder start:103.34MB, end 198.64MB, increase: 95.30MB
2024-10-24 20:10:45-debug: run package(ios) handler(enable) start
2024-10-24 20:10:45-debug: run package(mac) handler(enable) start
2024-10-24 20:10:45-debug: run package(mac) handler(enable) success!
2024-10-24 20:10:45-debug: run package(linux) handler(enable) start
2024-10-24 20:10:45-debug: run package(native) handler(enable) success!
2024-10-24 20:10:45-debug: run package(ohos) handler(enable) start
2024-10-24 20:10:45-debug: run package(ohos) handler(enable) success!
2024-10-24 20:10:45-debug: run package(openharmony) handler(enable) start
2024-10-24 20:10:45-debug: run package(openharmony) handler(enable) success!
2024-10-24 20:10:45-debug: run package(oppo-mini-game) handler(enable) start
2024-10-24 20:10:45-debug: run package(oppo-mini-game) handler(enable) success!
2024-10-24 20:10:45-debug: run package(runtime-dev-tools) handler(enable) start
2024-10-24 20:10:45-debug: run package(runtime-dev-tools) handler(enable) success!
2024-10-24 20:10:45-debug: run package(taobao-creative-app) handler(enable) start
2024-10-24 20:10:45-debug: run package(taobao-creative-app) handler(enable) success!
2024-10-24 20:10:45-debug: run package(taobao-mini-game) handler(enable) start
2024-10-24 20:10:45-debug: run package(ios) handler(enable) success!
2024-10-24 20:10:45-debug: run package(vivo-mini-game) handler(enable) start
2024-10-24 20:10:45-debug: run package(vivo-mini-game) handler(enable) success!
2024-10-24 20:10:45-debug: run package(linux) handler(enable) success!
2024-10-24 20:10:45-debug: run package(native) handler(enable) start
2024-10-24 20:10:45-debug: run package(web-mobile) handler(enable) start
2024-10-24 20:10:45-debug: run package(web-mobile) handler(enable) success!
2024-10-24 20:10:45-debug: run package(wechatgame) handler(enable) start
2024-10-24 20:10:45-debug: run package(web-desktop) handler(enable) success!
2024-10-24 20:10:45-debug: run package(wechatprogram) handler(enable) start
2024-10-24 20:10:45-debug: run package(wechatprogram) handler(enable) success!
2024-10-24 20:10:45-debug: run package(wechatgame) handler(enable) success!
2024-10-24 20:10:45-debug: run package(windows) handler(enable) success!
2024-10-24 20:10:45-debug: run package(xiaomi-quick-game) handler(enable) start
2024-10-24 20:10:45-debug: run package(xiaomi-quick-game) handler(enable) success!
2024-10-24 20:10:45-debug: run package(cocos-service) handler(enable) start
2024-10-24 20:10:45-debug: run package(cocos-service) handler(enable) success!
2024-10-24 20:10:45-debug: run package(im-plugin) handler(enable) start
2024-10-24 20:10:45-debug: run package(taobao-mini-game) handler(enable) success!
2024-10-24 20:10:45-debug: run package(fix-device) handler(enable) start
2024-10-24 20:10:45-debug: run package(fix-device) handler(enable) success!
2024-10-24 20:10:45-debug: run package(im-plugin) handler(enable) success!
2024-10-24 20:10:45-debug: run package(placeholder) handler(enable) success!
2024-10-24 20:10:45-debug: run package(placeholder) handler(enable) start
2024-10-24 20:10:45-debug: run package(web-desktop) handler(enable) start
2024-10-24 20:10:45-debug: asset-db:worker-init: initPlugin (2034ms)
2024-10-24 20:10:45-debug: run package(windows) handler(enable) start
2024-10-24 20:10:45-debug: [Assets Memory track]: asset-db:worker-init start:21.23MB, end 197.51MB, increase: 176.28MB
2024-10-24 20:10:45-debug: Run asset db hook programming:beforePreStart ...
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunksbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default-terrainbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_cubemapbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_file_contentbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_fontsbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:45-debug: Run asset db hook engine-extends:beforePreStart success!
2024-10-24 20:10:45-debug: Run asset db hook programming:beforePreStart success!
2024-10-24 20:10:45-debug: Run asset db hook engine-extends:beforePreStart ...
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_materialsbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_uibackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_renderpipelinebackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_skyboxbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/default_prefabbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/dependenciesbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/physicsbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: asset-db:worker-init (4075ms)
2024-10-24 20:10:46-debug: asset-db-hook-programming-beforePreStart (276ms)
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/toolsbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/gizmobackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/effectsbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: asset-db-hook-engine-extends-beforePreStart (276ms)
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunks/builtinbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunks/post-processbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunks/legacybackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunks/lighting-modelsbackground: #aaff85; color: #000;color: #000;
2024-10-24 20:10:46-debug: %cImport%c: /Applications/Cocos/Creator/3.8.2/CocosCreator.app/Contents/Resources/resources/3d/engine/editor/assets/chunks/commonbackground: #aaff85; color: #000;color: #000;
